Year,Quarter,Region,Regional Manager,Sales
2013,1,South East,John," $14,013 "
2013,2,South East,John," $18,600 "
2013,3,South East,Leonardo," $23,353 "
2013,4,South East,Leonardo," $20,756 "
2013,1,North East,Paul," $24,149 "
2013,2,North East,Paul," $13,119 "
2013,3,North East,Paul," $23,284 "
2013,4,North East,Paul," $12,697 "
2013,1,South West,George," $23,409 "
2013,2,South West,George," $13,113 "
2013,3,South West,George," $17,097 "
2013,4,South West,Michelangelo," $21,796 "
2013,1,North West,Ringo," $22,486 "
2013,2,North West,Raphael," $18,383 "
2013,3,North West,Raphael," $19,190 "
2013,4,North West,Raphael," $21,011 "
2014,1,South East,Leonardo," $18,378 "
2014,2,South East,Leonardo," $22,284 "
2014,3,South East,Donatello," $24,473 "
2014,4,South East,Donatello," $16,286 "
2014,1,North East,Paul," $21,630 "
2014,2,North East,Paul," $19,603 "
2014,3,North East,Paul," $23,947 "
2014,4,North East,Paul," $22,444 "
2014,1,South West,Michelangelo," $11,436 "
2014,2,South West,Michelangelo," $18,152 "
2014,3,South West,Michelangelo," $17,919 "
2014,4,South West,Michelangelo," $12,747 "
2014,1,North West,Raphael," $15,282 "
2014,2,North West,Raphael," $16,454 "
2014,3,North West,Raphael," $19,653 "
2014,4,North West,Raphael," $10,284 "
